class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Architecture normal,2,2,0,2,2,0.0,0.0,nan,nan,nan,nan,,,
Basal Plasmacytosis,3,0,0,0,3,nan,0.0,nan,nan,nan,nan,,,
Basal lymphoid aggregates,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Basal plasmacytosis,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Crypt abscess,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Focal crypt distortion (50% area of each fragment),0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Marked (>50%) crypt distortion,2,0,0,0,2,nan,0.0,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,9,0,0,0,9,nan,0.0,nan,nan,nan,nan,,,
No ulcer/ moderate to severe activity,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
No/ mild mononuclear cell infiltrate,20,0,0,0,20,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosion,4,0,0,0,4,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosions,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
unknown,0,5,0,5,0,0.0,nan,nan,nan,nan,nan,,,
