class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Architecture normal,0,2,0,2,0,0.0,nan,nan,nan,nan,nan,,,
Basal lymphoid aggregates,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Crypt absces,0,3,0,3,0,0.0,nan,nan,nan,nan,nan,,,
Moderate to marked mononuclear aggregates,0,3,0,3,0,0.0,nan,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,6,0,0,0,6,nan,0.0,nan,nan,nan,nan,,,
No ulcer/ mild activity,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
No ulcer/ moderate to severe activity,0,6,0,6,0,0.0,nan,nan,nan,nan,nan,,,
Ulcer/ erosion,4,0,0,0,4,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosions,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
unknown,0,17,0,17,0,0.0,nan,nan,nan,nan,nan,,,
