case_key,mode,n_a,n_b,micro_precision,micro_recall,micro_f1,macro_f1,sigma,TP,FP,FN,cas_threshold
2224413,components,67,49,0.5,0.36363636363636365,0.4210526315789474,0.6218687527162103,2.0,24,24,42,0.35
2326975,components,41,54,0.24074074074074073,0.325,0.276595744680851,0.3904558404558405,2.0,13,41,27,0.35
2346045_2,components,31,34,0.20588235294117646,0.23333333333333334,0.21874999999999997,0.44184981684981683,2.0,7,27,23,0.35
2346048,components,13,11,0.4444444444444444,0.36363636363636365,0.39999999999999997,0.5535714285714286,2.0,4,5,7,0.35
2346168,components,44,38,0.10810810810810811,0.09090909090909091,0.09876543209876544,0.5740740740740741,2.0,4,33,40,0.35
2346175,components,82,41,0.3,0.14634146341463414,0.19672131147540983,0.5483516483516484,2.0,12,28,70,0.35
2346972,components,42,24,0.7083333333333334,0.40476190476190477,0.5151515151515152,0.6422619047619047,2.0,17,7,25,0.35
2356047,components,42,27,0.0,0.0,,,2.0,0,27,42,0.35
2385991,components,60,40,0.5,0.3389830508474576,0.40404040404040403,0.624043062200957,2.0,20,20,39,0.35
S2402511,components,41,23,0.5652173913043478,0.325,0.4126984126984127,0.5630000000000001,2.0,13,10,27,0.35
S2415106A01,components,104,83,0.3950617283950617,0.3106796116504854,0.3478260869565217,0.41574071013141684,2.0,32,49,71,0.35
