class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,14,0,0,0,14,nan,0.0,nan,nan,nan,nan,,,
Basal lymphoid aggregates,2,0,0,0,2,nan,0.0,nan,nan,nan,nan,,,
Crypt absces,0,4,0,4,0,0.0,nan,nan,nan,nan,nan,,,
Crypt abscess,6,0,0,0,6,nan,0.0,nan,nan,nan,nan,,,
Marked (>50%) crypt distortion,23,0,0,0,23,nan,0.0,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,34,0,0,0,34,nan,0.0,nan,nan,nan,nan,,,
No ulcer/ moderate to severe activity,0,8,0,8,0,0.0,nan,nan,nan,nan,nan,,,
No/ mild mononuclear cell infiltrate,1,0,0,0,1,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosion,23,0,0,0,23,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosions,0,5,0,5,0,0.0,nan,nan,nan,nan,nan,,,
unknown,1,25,0,25,1,0.0,0.0,nan,nan,nan,nan,,,
