case_key,mode,left_source_label,right_source_label,n_left,n_right,micro_precision,micro_recall,micro_f1,macro_f1,sigma,TP,FP,FN,cas_threshold
2224413,one_to_one,A,C,67,6,0.0,0.0,,,2.0,0,6,67,0.35
2326975,one_to_one,A,C,41,54,0.0,0.0,,,2.0,0,54,41,0.35
2346045_2,one_to_one,A,C,31,19,0.0,0.0,,,2.0,0,19,31,0.35
2346048,one_to_one,A,C,13,33,0.0,0.0,,,2.0,0,33,13,0.35
2346168,one_to_one,A,C,44,17,0.0,0.0,,,2.0,0,17,44,0.35
2346175,one_to_one,A,C,82,43,0.023255813953488372,0.012195121951219513,0.016000000000000004,0.33333333333333337,2.0,1,42,81,0.35
2346972,one_to_one,A,C,42,11,0.0,0.0,,,2.0,0,11,42,0.35
2356047,one_to_one,A,C,42,16,0.0,0.0,,,2.0,0,16,42,0.35
2385991,one_to_one,A,C,60,23,0.0,0.0,,,2.0,0,23,60,0.35
S2402511,one_to_one,A,C,41,21,0.0,0.0,,,2.0,0,21,41,0.35
S2415106A01,one_to_one,A,C,104,42,0.0,0.0,,,2.0,0,42,104,0.35
