class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,10,0,0,0,10,nan,0.0,nan,nan,nan,nan,,,
Basal lymphoid aggregates,2,0,0,0,2,nan,0.0,nan,nan,nan,nan,,,
Basal plasmacytosis,0,2,0,2,0,0.0,nan,nan,nan,nan,nan,,,
Crypt absces,0,2,0,2,0,0.0,nan,nan,nan,nan,nan,,,
Crypt abscess,2,0,0,0,2,nan,0.0,nan,nan,nan,nan,,,
Diffuse crypt distortion (>50% area in each fragment),0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Marked (>50%) crypt distortion,4,0,0,0,4,nan,0.0,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,17,0,0,0,17,nan,0.0,nan,nan,nan,nan,,,
No ulcer/ moderate to severe activity,0,6,0,6,0,0.0,nan,nan,nan,nan,nan,,,
No/mild mononuclear aggregates,0,2,0,2,0,0.0,nan,nan,nan,nan,nan,,,
Ulcer/ erosion,5,0,0,0,5,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosions,0,3,0,3,0,0.0,nan,nan,nan,nan,nan,,,
unknown,0,7,0,7,0,0.0,nan,nan,nan,nan,nan,,,
