case_key,mode,n_a,n_b,micro_precision,micro_recall,micro_f1,macro_f1,sigma,TP,FP,FN,cas_threshold
2224413,one_to_one,67,49,0.4897959183673469,0.3582089552238806,0.4137931034482758,0.6095238095238095,2.0,24,25,43,0.35
2326975,one_to_one,41,54,0.24074074074074073,0.3170731707317073,0.2736842105263158,0.3880748880748881,2.0,13,41,28,0.35
2346045_2,one_to_one,31,34,0.20588235294117646,0.22580645161290322,0.2153846153846154,0.39184981684981685,2.0,7,27,24,0.35
2346048,one_to_one,13,11,0.45454545454545453,0.38461538461538464,0.41666666666666663,0.4886363636363636,2.0,5,6,8,0.35
2346168,one_to_one,44,38,0.10526315789473684,0.09090909090909091,0.0975609756097561,0.5407407407407407,2.0,4,34,40,0.35
2346175,one_to_one,82,41,0.2926829268292683,0.14634146341463414,0.19512195121951217,0.5347152847152847,2.0,12,29,70,0.35
2346972,one_to_one,42,24,0.7083333333333334,0.40476190476190477,0.5151515151515152,0.6422619047619047,2.0,17,7,25,0.35
2356047,one_to_one,42,27,0.0,0.0,,,2.0,0,27,42,0.35
2385991,one_to_one,60,40,0.5,0.3333333333333333,0.4,0.6207602339181286,2.0,20,20,40,0.35
S2402511,one_to_one,41,23,0.5652173913043478,0.3170731707317073,0.40625,0.5585882352941177,2.0,13,10,28,0.35
S2415106A01,one_to_one,104,83,0.3855421686746988,0.3076923076923077,0.34224598930481287,0.3999367252283477,2.0,32,51,72,0.35
