class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,2,0,,,,0.0,0.0,nan,0.0,0.0,inf,3493376.0,0.0,0.0
Basal lymphoid aggregates,4,2,,,,0.0,0.0,nan,0.0,0.0,5.203639522083187,27600640.0,5304103.0,0.0
Basal plasmacytosis,0,2,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,7131903.0,0.0
Marked (>50%) crypt distortion,3,0,,,,0.0,0.0,nan,0.0,0.0,inf,19668646.0,0.0,0.0
Moderate to marked mononuclear cell infiltrate,9,0,,,,0.0,0.0,nan,0.0,0.0,inf,6662806.0,0.0,0.0
No ulcer/ moderate to severe activity,0,3,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,18858703.0,0.0
No/ mild mononuclear cell infiltrate,3,0,,,,0.0,0.0,nan,0.0,0.0,inf,1389406.0,0.0,0.0
Ulcer/ erosion,10,0,,,,0.0,0.0,nan,0.0,0.0,inf,991788.0,0.0,0.0
Ulcer/ erosions,0,5,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,28236288.0,0.0
unknown,0,7,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,144018472.0,0.0
