class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Architecture normal,2,2,,,,0.0,0.0,nan,0.0,0.0,2.345316512355896,20015365.0,8534185.0,0.0
Basal Plasmacytosis,3,0,,,,0.0,0.0,nan,0.0,0.0,inf,2905064.0,0.0,0.0
Basal lymphoid aggregates,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,5654666.0,0.0,0.0
Basal plasmacytosis,0,1,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,8691195.0,0.0
Crypt abscess,1,0,,,,0.0,0.0,nan,0.0,0.0,inf,89838.0,0.0,0.0
Focal crypt distortion (50% area of each fragment),0,1,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,9463002.0,0.0
Marked (>50%) crypt distortion,2,0,,,,0.0,0.0,nan,0.0,0.0,inf,59983944.0,0.0,0.0
Moderate to marked mononuclear cell infiltrate,9,0,,,,0.0,0.0,nan,0.0,0.0,inf,2259649.0,0.0,0.0
No ulcer/ moderate to severe activity,0,1,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,3853530.0,0.0
No/ mild mononuclear cell infiltrate,20,0,,,,0.0,0.0,nan,0.0,0.0,inf,3038533.0,0.0,0.0
Ulcer/ erosion,4,0,,,,0.0,0.0,nan,0.0,0.0,inf,2055052.0,0.0,0.0
Ulcer/ erosions,0,1,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,15496738.0,0.0
unknown,0,5,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,59760361.0,0.0
