case_key,mode,left_source_label,right_source_label,n_left,n_right,micro_precision,micro_recall,micro_f1,macro_f1,sigma,TP,FP,FN,total_area_a,total_area_b,total_area_intersection
2224413,union_per_class,A,C,67,6,0.0,0.0,,,2.0,,,,123440148.0,492405738.0,0.0
2326975,union_per_class,A,C,41,54,0.0,0.0,,,2.0,,,,116653455.0,409850194.0,0.0
2346045_2,union_per_class,A,C,31,19,0.0,0.0,,,2.0,,,,59806662.0,203549469.0,0.0
2346048,union_per_class,A,C,13,33,0.0,0.0,,,2.0,,,,19519966.0,63408381.0,0.0
2346168,union_per_class,A,C,44,17,0.0,0.0,,,2.0,,,,199786428.0,480121852.0,0.0
2346175,union_per_class,A,C,82,43,0.0008008028328249522,0.0018040387080025199,0.0011092262506189592,0.06752483256348746,2.0,,,,164963201.0,371627057.0,297600.0
2346972,union_per_class,A,C,42,11,0.0,0.0,,,2.0,,,,96002111.0,105799011.0,0.0
2356047,union_per_class,A,C,42,16,0.0,0.0,,,2.0,,,,71661257.0,279747148.0,0.0
2385991,union_per_class,A,C,60,23,0.0,0.0,,,2.0,,,,166111556.0,383377244.0,0.0
S2402511,union_per_class,A,C,41,21,0.0,0.0,,,2.0,,,,74206458.0,173764326.0,0.0
S2415106A01,union_per_class,A,C,104,42,0.00017807082387237886,0.00036432273960124617,0.00023921836380490433,0.000414247915935014,2.0,,,,338894575.0,693358953.0,123467.0
