class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,14,0,,,,0.0,0.0,nan,0.0,0.0,inf,3919889.0,0.0,0.0
Basal lymphoid aggregates,2,0,,,,0.0,0.0,nan,0.0,0.0,inf,607047.0,0.0,0.0
Crypt absces,0,4,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,3146397.0,0.0
Crypt abscess,5,0,,,,0.0,0.0,nan,0.0,0.0,inf,3332459.0,0.0,0.0
Marked (>50%) crypt distortion,9,0,,,,0.0,0.0,nan,0.0,0.0,inf,208119125.0,0.0,0.0
Moderate to marked mononuclear cell infiltrate,35,0,,,,0.0,0.0,nan,0.0,0.0,inf,14992546.0,0.0,0.0
No ulcer/ moderate to severe activity,0,8,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,76004397.0,0.0
Ulcer/ erosion,18,0,,,,0.0,0.0,nan,0.0,0.0,inf,3406664.0,0.0,0.0
Ulcer/ erosions,0,5,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,18229653.0,0.0
unknown,0,25,,,,0.0,0.0,nan,0.0,0.0,inf,0.0,595978506.0,0.0
