case_key,mode,left_source_label,right_source_label,n_left,n_right,micro_precision,micro_recall,micro_f1,macro_f1,sigma,TP,FP,FN,total_area_a,total_area_b,total_area_intersection
2224413,union_per_class,B,C,49,6,0.0,0.0,,,2.0,,,,107008473.0,492405738.0,0.0
2326975,union_per_class,B,C,54,54,0.0032000765626086294,0.01092355654234295,0.0049500319091730855,0.38434479064222743,2.0,,,,120066390.0,409850194.0,1311552.0
2346045_2,union_per_class,B,C,34,19,0.0,0.0,,,2.0,,,,61734383.0,203549469.0,0.0
2346048,union_per_class,B,C,11,33,0.0,0.0,,,2.0,,,,16546978.0,63408381.0,0.0
2346168,union_per_class,B,C,38,17,0.0,0.0,,,2.0,,,,177068125.0,480121852.0,0.0
2346175,union_per_class,B,C,41,43,0.0006059838640866238,0.0020997634540012317,0.0009405333328928586,0.1305537898136159,2.0,,,,107250176.0,371627057.0,225200.0
2346972,union_per_class,B,C,24,11,0.0,0.0,,,2.0,,,,88188729.0,105799011.0,0.0
2356047,union_per_class,B,C,27,16,0.0,0.0,,,2.0,,,,52449991.0,279747148.0,0.0
2385991,union_per_class,B,C,40,23,0.0,0.0,,,2.0,,,,109116770.0,383377244.0,0.0
S2402511,union_per_class,B,C,23,21,0.0,0.0,,,2.0,,,,58648447.0,173764326.0,0.0
S2415106A01,union_per_class,B,C,83,42,0.0,0.0,,,2.0,,,,234377730.0,693358953.0,0.0
