case_key,mode,n_a,n_b,micro_precision,micro_recall,micro_f1,macro_f1,sigma,TP,FP,FN,total_area_a,total_area_b,total_area_intersection
2224413,union_per_class,67,49,0.4841361580778748,0.41969060989784296,0.4496158039496362,0.4057962614769379,2.0,,,,123440148.0,107008473.0,51806671.0
2326975,union_per_class,41,54,0.3280074548755901,0.33760398266815156,0.3327365392622659,0.2816840300324375,2.0,,,,116653455.0,120066390.0,39382671.0
2346045_2,union_per_class,31,34,0.3686316100381209,0.380513545464216,0.3744783500915267,0.26341011109564566,2.0,,,,59806662.0,61734383.0,22757245.0
2346048,union_per_class,13,11,0.38728884512930395,0.32830282593729926,0.35536473508817373,0.39616822479943,2.0,,,,19519966.0,16546978.0,6408460.0
2346168,union_per_class,44,38,0.05923194250800363,0.05249650391667246,0.05566120359437452,0.14768578714290626,2.0,,,,199786428.0,177068125.0,10488089.0
2346175,union_per_class,82,41,0.04475318530013415,0.029096107319110522,0.03526488707423074,0.40454918988531247,2.0,,,,164963201.0,107250176.0,4799787.0
2346972,union_per_class,42,24,0.26112747355730687,0.2398749335834917,0.25005043681868216,0.3221425912856839,2.0,,,,96002111.0,88188729.0,23028500.0
2356047,union_per_class,42,27,0.0,0.0,,,2.0,,,,71661257.0,52449991.0,0.0
2385991,union_per_class,60,40,0.8066507375539067,0.5298795888709874,0.6396080249385377,0.4294818609317408,2.0,,,,166111556.0,109116770.0,88019123.0
S2402511,union_per_class,41,23,0.7855168441203567,0.6208265997549701,0.6935286732544802,0.3363202717381806,2.0,,,,74206458.0,58648447.0,46069343.0
S2415106A01,union_per_class,104,83,0.8637504083685766,0.5973653015838333,0.7062746908731271,0.39888098035405367,2.0,,,,338894575.0,234377730.0,202443860.0
